20121109	ham	fal	81	76	1
20121109	iak	uvs	67	54	1
20121109	bae	laf	99	77	1
20121109	tak	mbq	59	71	0
20121109	mav	scd	87	79	1
20121109	lal	mbp	74	77	0
20121109	cbp	may	66	62	1
20121109	pal	mbs	80	48	1
20121109	nad	cax	68	58	1
20121109	aca	dav	69	66	1
20121109	nat	maw	97	59	1
20121109	dau	gag	74	55	1
20121109	nav	gal	76	59	1
20121109	fan	sbe	71	76	0
20121109	cbl	wbi	74	59	1
20121109	gah	taz	79	61	1
20121109	gaf	jab	68	62	1
20121109	nay	ban	65	64	1
20121109	wad	raa	79	67	1
20121109	sbl	bag	65	55	1
20121109	paf	sbo	65	58	1
20121109	pag	mam	80	75	1
20121109	raf	lai	84	42	1
20121109	gad	vaf	63	59	1
20121109	hbd	nae	81	73	1
20121109	kae	dat	66	62	1
20121109	mbk	hak	91	62	1
20121109	nab	wat	71	61	1
20121109	pau	bau	65	70	0
20121109	rag	rah	79	54	1
20121109	sas	vad	53	54	0
20121109	tac	cag	53	46	1
20121109	tag	kns	76	67	1
20121109	xaa	faa	117	75	1
20121109	oah	hal	45	46	0
20121109	rak	sby	52	56	0
20121109	rad	ncb	55	67	0
20121109	cat	tav	75	58	1
20121109	mah	lay	81	47	1
20121109	cbi	aac	74	70	1
20121109	cbh	gak	92	49	1
20121109	lbu	bab	60	89	0
20121109	lau	bai	71	45	1
20121109	sao	mbi	75	36	1
20121109	vaa	flg	80	57	1
20121109	wbh	hay	69	51	1
20121109	iai	bry	97	54	1
20121109	kaa	sap	74	55	1
20121109	abb	iav	61	50	1
20121109	aas	sab	73	68	1
20121109	iao	sbh	82	59	1
20121109	lav	sah	77	63	1
20121109	mbd	aan	72	36	1
20121109	sbr	sec	76	59	1
20121109	tal	far	55	53	1
20121109	sch	fao	86	76	1
20121109	taw	mbg	56	53	1
20121109	iae	cbk	75	55	1
20121109	aat	tae	84	68	1
20121109	abf	sac	75	64	1
20121109	las	tau	62	50	1
20121109	neo	naz	77	64	1
20121109	cbt	nax	71	51	1
20121109	iam	dak	65	58	1
20121109	kaf	maj	72	69	1
20121109	laa	sbn	65	76	0
20121109	vab	gab	85	54	1
20121109	maz	aah	97	53	1
20121109	gaj	sbc	103	65	1
20121109	cbm	mbm	72	65	1
20121109	baq	ead	76	53	1
20121109	mbf	mbe	93	57	1
20121109	oag	caa	73	65	1
20121109	oak	naq	102	83	1
20121109	tan	lap	71	59	1
20121109	baw	tai	81	66	1
20121109	dal	cau	91	59	1
20121109	aaf	sds	70	67	1
20121109	ian	tbc	86	55	1
20121109	kab	nci	85	52	1
20121109	mae	scy	57	60	0
20121109	nao	sag	72	68	1
20121109	tap	oai	69	49	1
20121109	tas	pao	89	79	1
20121109	ccm	tao	60	62	0
20121109	abi	hba	68	72	0
20121109	iaa	wbj	70	80	0
20121109	nbb	pah	81	75	1
20121109	uaa	ial	86	59	1
